date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:05	80984/80984	---M--	200	added ('OK')	text/html	etag:%2213c58-5089b91815a33%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html	(from )
13:58:06	767/767	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202014%2019:46:10%20GMT	http://codepeoples.com/robots.txt		(from )
13:58:06	6063/6063	---M--	200	added ('OK')	image/png	etag:%2217af-5089b8961d86e%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-144-precomposed.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-144-precomposed.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:07	6063/6063	---M--	200	added ('OK')	image/png	etag:%2217af-5089b893df8a6%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-114-precomposed.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-114-precomposed.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:07	3538/3538	---M--	200	added ('OK')	image/png	etag:%22dd2-5089b897865d0%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-72-precomposed.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/apple-touch-icon-72-precomposed.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:08	767/767	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202014%2019:46:10%20GMT	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/ico/apple-touch-icon-57-precomposed.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/ico/apple-touch-icon-57-precomposed.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:09	2001/2001	---M--	200	added ('OK')	image/png	etag:%227d1-5089b89819d23%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/favicon.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/ico/favicon.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:11	132546/132546	---M--	200	added ('OK')	text/css	etag:%22205c2-5089b870fb656%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/bootstrap/css/bootstrap.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/bootstrap/css/bootstrap.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:13	3922/3922	---M--	200	added ('OK')	text/css	etag:%22f52-5089b88a041d8%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/skin-1.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/skin-1.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:13	101478/101478	---M--	200	added ('OK')	text/css	etag:%2218c66-5089b8908bc0b%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/style.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/style.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:15	41626/41626	---M--	200	added ('OK')	text/css	etag:%22a29a-5089b878e1dbd%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/animate.min.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/animate.min.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:16	6208/6208	---M--	200	added ('OK')	text/css	etag:%221840-5089b8886f103%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/owl.carousel.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/owl.carousel.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:17	1745/1745	---M--	200	added ('OK')	text/css	etag:%226d1-5089b888f329b%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/owl.theme.css	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/assets/css/owl.theme.css	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
